Probeta;ID-3;ID-4;Fecha;Colada Nº;Calidad;Cantidad PF/ Detalle;Cantidad Aros / Detalle;C;Si;Mn;P;S;Cr;Ni;Mo;Cu;V
AR 1434;LT ING;CRIS;10/08/2010;123 F H4;WCB;CPO 6-300(2);VOL E2-150-4 PIEZAS;0,227;0,453;0,96;0,021;0,015;0,062;0,043;0,02;0,043;0,003
AR 1435;LT ING;CRIS;10/08/2010;124 F H4;WCB;CPO 6-300(2);VOL E3-150-4 PIEZAS;0,186;0,422;0,92;0,015;0,011;0,058;0,037;0,019;0,028;0,002
AR 1436;;CARRERA;11/08/2010;135 F H4;WCB;CPO E6-300(1);;0,218;0,485;0,9;0,025;0,024;0,102;0,039;0,02;0,057;0,004
AR 1437;TULSA;CARRERA;11/08/2010;136 F H4;WCB;CPO E6-300(1)-PLAQ INF(30)-PLA;CPO T (2);0,238;0,51;0,94;0,024;0,02;0,093;0,051;0,023;0,048;0,004
AR 1438;LODOLO;CARRERA;04/08/2010;966 F H2;WCB;;VOL 7-10(40)-GUIAS(66);0,184;0,56;1,05;0,015;0,018;0,044;0,034;0,018;0,069;0,002
AR 1439;LT ING;CARRERA;04/08/2010;965 F H2;WCB;PLACA ENG(4);;0,25;0,58;0,91;0,016;0,014;0,059;0,046;0,024;0,047;0,002
AR 1440;;CRIS;09/08/2010;983 F H1;WCB;BTE E6-300;;0,196;0,53;1,1;0,021;0,015;0,266;0,107;0,033;0,043;0,008
AR 1441;FABRIMAQ;CRIS;10/08/2010;125 F H4;WCB;BTE (5);CPO (2);0,217;0,49;0,95;0,019;0,014;0,065;0,039;0,018;0,04;0,003
AR 1442;FABRIMAQ;CRIS;10/08/2010;125 F H4;WCB;BTE (5);CPO (2);0,217;0,49;0,95;0,019;0,014;0,065;0,039;0,018;0,04;0,003
AR 1443;;CARRERA;02/09/2010;225 F H3;WCB;GRAMPA DRE.IZQ.#24/VTE E8-150#;VTE E4-150#3-BTE E2-150(16);0,242;0,481;0,85;0,025;0,013;0,083;0,042;0,014;0,022;0,002
AR 1444;;CRIS;23/08/2010;1045 F H1;WCB;;;0,225;0,384;0,82;0,02;0,018;0,147;0,074;0,024;0,06;0,004
AR 1445;;CARRERA;26/08/2010;1066 F H2;WCB;;;0,209;0,56;0,94;0,032;0,014;0,1;0,054;0,017;0,042;0,004
AR 1446;;CARRERA;26/08/2010;1067 F H2;WCB;;;0,243;0,56;0,97;0,031;0,015;0,123;0,057;0,019;0,027;0,003
AR 1447;;CARRERA;30/08/2010;1082 F H2;WCB;;;0,249;0,59;1;0,018;0,013;0,173;0,066;0,019;0,022;0,006
AR 1448;;CRIS;02/09/2010;1101 F H2;WCB;;;0,212;0,52;0,92;0,03;0,011;0,043;0,037;0,016;0,017;0,001
AR 1449;;CRIS;30/07/2010;943 F H2;WC6;BTE 6-300-CPO 6-300-CUNA 6-300;CLAPETA 6-300-PRE6-300;0,18;0,63;0,87;0,02;0,007;1,23;0,5;0,5;0,027;0,01
AR 1450;AR1450#2/H760#4H761#2/H761#3;CARRERA;18/08/2010;158 F H3;WCB;L.T.INGIENERIA-PLACA ENGANCHE#;;0,224;0,53;0,86;0,023;0,011;0,102;0,059;0,015;0,023;0,003
AR 1451;VALMEC;CRIS;27/08/2010;198 F H3;WCB;CPO E4-1500(1);TAPA(2);0,234;0,386;0,79;0,026;0,023;0,134;0,089;0,023;0,084;0,004
AR 1452;;CARRERA;23/08/2010;1048 F H1;WCB;CPO E4-1500;;0,204;0,54;0,79;0,023;0,028;0,295;0,1;0,023;0,156;0,003
AR 1453;;CRIS;23/08/2010;1045 F H1;WCB;;;0,225;0,384;0,82;0,02;0,018;0,147;0,074;0,024;0,06;0,004
AR 1455;LT ING;CRIS;04/08/2010;963 F H2;WCB;CPO E8-300(1)-BTE E8-300(1)-AN;PLACA ENG(4)-VOL E2-150(12);0,224;0,53;0,89;0,019;0,014;0,078;0,045;0,025;0,049;0,003
AR 1456;;CRIS;05/08/2010;102 F H4;WCB;CPO C8-300(10-TPA C8-300(1)-AN;SOPORTE WHELL(16);0,222;0,452;0,95;0,019;0,014;0,158;0,06;0,035;0,046;0,003
AR 1457;;CARRERA;25/08/2010;1059 F H1;CF8M;4 CAJAS;;0,085;0,94;0,97;0,021;0,011;18,23;9,13;2,03;0,314;0,073
AR 1458;;CRIS;23/08/2010;1045 F H1;WCB;;;0,225;0,384;0,82;0,02;0,018;0,147;0,074;0,024;0,06;0,004
AR 1460;;CARRERA;30/08/2010;210 F H3;WCB;CPO 3-300;VOL E24-150;0,247;0,54;0,76;0,016;0,011;0,087;0,054;0,014;0,025;0,005
AR 1461;;CARRERA;25/08/2010;190 F H4;WCB;;;0,217;0,445;0,87;0,023;0,023;0,112;0,091;0,023;0,124;0,003
AR 1462;TORRIS-FONTANIVEI;CRIS;25/08/2010;188 F H4;WCB;;3 PZAS-2 COLUMNAS;0,238;0,426;0,85;0,021;0,02;0,107;0,077;0,018;0,086;0,005
AR 1463;;CARRERA;25/08/2010;190 F H4;WCB;;;0,217;0,445;0,87;0,023;0,023;0,112;0,091;0,023;0,124;0,003
AR 1464;;CRIS;26/08/2010;1062 F H2;WCB;3 CAJAS;;0,233;0,457;0,77;0,025;0,021;0,236;0,127;0,031;0,099;0,003
AR 1465;;CARRERA;25/08/2010;190 F H4;WCB;;;0,217;0,445;0,87;0,023;0,023;0,112;0,091;0,023;0,124;0,003
AR 1466;;CARRERA;26/08/2010;197 F H3;WCB;CUNA E8-150(4);;0,251;0,51;0,94;0,032;0,012;0,101;0,06;0,016;0,031;0,003
AR 1467;INDELMET;CRIS;30/08/2010;204 F H3;WCB;CPO E8-150;2 CAJAS-VOL E24-150(1)-VOL E3-;0,249;0,345;0,76;0,015;0,011;0,111;0,076;0,021;0,032;0,004
AR 1468;;CRIS;27/08/2010;200 F H3;WCB;;;0,226;0,48;0,87;0,017;0,014;0,072;0,048;0,018;0,053;0,003
AR 1469;AR1469#1/BTE E 6-900#1;CARRERA;27/08/2010;1074 F H2;WCB;1 CAJA SIN ID. SOLO EL MATERIA;;0,199;0,52;0,93;0,02;0,011;0,068;0,043;0,017;0,03;0,005
AR 1470;;CARRERA;27/08/2010;202 F H3;WCB;;;0,205;0,58;0,9;0,019;0,015;0,046;0,04;0,015;0,028;0,003
AR 1471;AR1506#3/AR1353#1/AR1488#1;CARRERA;31/08/2010;218 F H3;WCB;2 CAJAS;;0,229;0,54;0,85;0,014;0,011;0,046;0,038;0,015;0,027;0,002
AR 1472;;CRIS;01/09/2010;1090 F H2;WCB;BTE E8-150;8 BALANCINES;0,206;0,448;0,76;0,028;0,013;0,268;0,111;0,031;0,025;0,003
AR 1473;;CRIS;02/09/2010;224 F H3;WCB;BTE E8-150(4);;0,198;0,469;0,76;0,023;0,014;0,326;0,057;0,018;0,026;0,005
AR 1474;;;25/08/2010;1056 F H2;WCB;;;0,232;0,53;0,96;0,023;0,021;0,069;0,064;0,023;0,06;0,007
AR 1476;;;25/08/2010;1056 F H2;WCB;;;0,232;0,53;0,96;0,023;0,021;0,069;0,064;0,023;0,06;0,007
AR 1477;;CRIS;07/09/2010;1118 F H1;C 12;CPO E8-150(3);;0,137;0,87;0,6;0,017;0,008;9,71;0,114;1,2;0,043;0,064
